,price,dix,gex,absolute move sp500,VIX,SPY,QQQ,IV,vix 5 days,vix 21 days
2011-05-31,1345.199951,0.4024774071359699,1501018826.775,1.0592724253794206,15.449999809265137,134.89999389648438,58.36000061035156,0.965624988079071,16.481999778747557,16.911428587777273
2011-06-01,1314.550049,0.4415818154795479,765472910.6735,2.278464400568514,18.299999237060547,131.8699951171875,57.09000015258789,1.1437499523162842,16.577999687194826,17.02142856234596
2011-06-02,1312.939941,0.4130699544074263,737054457.098,0.12248358297386464,18.09000015258789,131.72999572753906,57.209999084472656,1.1306250095367432,16.781999778747558,17.087619009472075
2011-06-03,1300.160034,0.4361097185889154,405956517.902,0.973380929387091,17.950000762939453,130.4199981689453,56.349998474121094,1.1218750476837158,17.153999900817873,17.129047620864142
2011-06-06,1286.170044,0.4001471281500261,24119666.104,1.0760206154744822,18.489999771118164,129.0399932861328,55.88999938964844,1.1556249856948853,17.65599994659424,17.14285709744408
2011-06-07,1284.939941,0.4067739261627282,-172403089.14,0.09564077516330816,18.06999969482422,128.9600067138672,55.790000915527344,1.1293749809265137,18.179999923706056,17.127142815362838
2011-06-08,1279.560059,0.4045812401043901,-285916518.02,0.41868742875353915,18.790000915527344,128.4199981689453,55.38999938964844,1.174375057220459,18.278000259399413,17.204761913844518
2011-06-09,1289.0,0.4144506947029147,-110999211.335,0.7377489578236363,17.770000457763672,129.39999389648438,55.4900016784668,1.1106250286102295,18.21400032043457,17.293333371480305
2011-06-10,1270.97998,0.4361255265327686,-459227978.2,1.397984484096193,18.860000610351562,127.5999984741211,54.63999938964844,1.1787500381469727,18.39600028991699,17.384285745166597
2011-06-13,1271.829956,0.4088508603468689,-449818392.34,0.06687564032283877,19.610000610351562,127.69999694824219,54.63999938964844,1.2256250381469727,18.620000457763673,17.554761932009743
2011-06-14,1287.869995,0.426970319314135,97844618.176,1.2611779526287448,18.260000228881836,129.32000732421875,55.34000015258789,1.1412500143051147,18.658000564575197,17.611428624107724
2011-06-15,1265.420044,0.4302597484995706,-618829105.244,1.7431845673211765,21.31999969482422,127.0199966430664,54.290000915527344,1.3324999809265137,19.16400032043457,17.758095287141344
2011-06-16,1267.640015,0.3879749628199702,-643026779.91,0.17543352584985517,22.729999542236328,127.30000305175781,54.08000183105469,1.4206249713897705,20.1560001373291,18.004761968340194
2011-06-17,1271.5,0.4089676915491283,-444255510.62,0.3045016687959423,21.850000381469727,127.05000305175781,53.790000915527344,1.365625023841858,20.754000091552733,18.272381055922736
2011-06-20,1278.359985,0.371377592250574,130641736.1,0.5395190719622578,19.989999771118164,127.69999694824219,54.06999969482422,1.2493749856948853,20.829999923706055,18.485238166082475
2011-06-21,1295.52002,0.4234861745377597,594237200.535,1.3423476330104211,18.860000610351562,129.4499969482422,55.22999954223633,1.1787500381469727,20.95,18.55333341870989
2011-06-22,1287.140015,0.4472098927635801,421966023.175,0.6468448862720022,18.520000457763672,128.6699981689453,54.83000183105469,1.1575000286102295,20.39000015258789,18.565238180614653
2011-06-23,1283.5,0.4461674181899256,673524372.871,0.282798682162011,19.290000915527344,128.3000030517578,55.34000015258789,1.205625057220459,19.702000427246094,18.635238238743373
2011-06-24,1268.449951,0.4474775675604366,197912878.19,1.1725788079470112,21.100000381469727,126.80999755859375,54.380001068115234,1.318750023841858,19.552000427246092,18.82714303334554
2011-06-27,1280.099976,0.4229687257351265,533994908.78,0.9184457763442344,20.559999465942383,127.94000244140625,55.25,1.284999966621399,19.666000366210938,19.040000143505278
2011-06-28,1296.670044,0.4346091542572899,1000303669.785,1.2944354590004314,19.170000076293945,129.61000061035156,56.06999969482422,1.1981250047683716,19.728000259399415,19.191904930841353
2011-06-29,1307.410034,0.4191406401143612,1263240916.7,0.82827470640634,17.270000457763672,130.72000122070312,56.29999923706055,1.0793750286102295,19.478000259399415,19.278571628388903
2011-06-30,1320.640015,0.4119331097271801,1731119949.93,1.0119228593896468,16.520000457763672,131.97000122070312,57.04999923706055,1.0325000286102295,18.92400016784668,19.19380978175572
2011-07-01,1339.670044,0.4144370719455071,2019895206.727,1.4409701950459208,15.869999885559082,133.9199981689453,57.90999984741211,0.9918749928474426,17.87800006866455,19.088095483325777
2011-07-05,1337.880005,0.4182974912164665,2204693723.48,0.1336179015136607,16.059999465942383,133.80999755859375,58.20000076293945,1.003749966621399,16.97800006866455,18.99809542156401
2011-07-06,1339.219971,0.4295129816588348,2236776776.815,0.10015591794423351,16.34000015258789,133.97000122070312,58.38999938964844,1.0212500095367432,16.41200008392334,18.895714487348283
2011-07-07,1353.219971,0.4161983588738248,2729301387.395,1.0453846495095398,15.949999809265137,135.36000061035156,59.189998626708984,0.996874988079071,16.147999954223632,18.794762111845472
2011-07-08,1343.800049,0.4396265002513235,2490173790.3,0.6961116597354766,15.949999809265137,134.39999389648438,59.029998779296875,0.996874988079071,16.033999824523924,18.659523963928223
2011-07-11,1319.48999,0.4276814368390468,1737340522.96,1.8090532901892997,18.389999389648438,131.97000122070312,57.959999084472656,1.1493749618530273,16.5379997253418,18.6890477225894
2011-07-12,1313.640015,0.4283881981527858,1533836324.39,0.44335122239161917,19.8700008392334,131.39999389648438,57.52000045776367,1.2418750524520874,17.3,18.737142971583776
2011-07-13,1317.719971,0.4280203404464783,1957650368.7,0.3105840225185341,19.90999984741211,131.83999633789062,57.7599983215332,1.2443749904632568,18.013999938964844,18.75142864953904
2011-07-14,1308.869995,0.4338029213495883,1650214262.91,0.6716128005014532,20.799999237060547,130.92999267578125,57.09000015258789,1.2999999523162842,18.983999824523927,18.872380983261834
