date,price,gex
2011-12-21,1243.719971,1417896318.435
2011-12-22,1254.0,1681798897.91
2011-12-23,1265.329956,1667860364.81
2011-12-27,1265.430054,1823359677.951
2011-12-28,1249.640015,1420172303.82
2011-12-29,1263.02002,1770650321.16
2011-12-30,1257.599976,1555835281.4
2012-01-03,1277.060059,2013937733.195
2012-01-04,1277.300049,2149477635.055
2012-01-05,1281.060059,2291122803.43
2012-01-06,1277.810059,2050336451.665
2012-01-09,1280.699951,2099565269.94
2012-01-10,1292.079956,2365634573.45
2012-01-11,1292.47998,2328042129.925
2012-01-12,1295.5,2400086674.76
2012-01-13,1289.089966,2244354574.715
2012-01-17,1293.670044,2487898291.555
2012-01-18,1308.040039,2789240578.535
2012-01-19,1314.5,3020604554.37
2012-01-20,1315.380005,5358379989.88
2012-01-23,1316.0,1360477009.765
2012-01-24,1314.650024,1326643587.175
2012-01-25,1326.060059,2073559881.87
2012-01-26,1318.430054,1847055849.704
2012-01-27,1316.329956,1579086753.47
2012-01-30,1313.01001,1685941157.15
2012-01-31,1312.410034,1788588311.115
2012-02-01,1324.089966,1942692934.85
2012-02-02,1325.540039,1988290985.915
2012-02-03,1344.900024,2256784983.965
2012-02-06,1344.329956,2380094744.83
2012-02-07,1347.050049,2555741484.73
2012-02-08,1349.959961,2676630480.725
2012-02-09,1351.949951,2606671502.18
2012-02-10,1342.640015,2166027616.655
2012-02-13,1351.77002,2383096276.235
2012-02-14,1350.5,2375689235.795
2012-02-15,1343.22998,1946328756.07
2012-02-16,1358.040039,2403205900.545
2012-02-17,1361.22998,3963263035.535
2012-02-21,1362.209961,1836440939.76
2012-02-22,1357.660034,1847991718.36
2012-02-23,1363.459961,2178450927.96
2012-02-24,1365.73999,2048066403.52
2012-02-27,1367.589966,2143096788.985
2012-02-28,1372.180054,2489017760.76
2012-02-29,1365.680054,2279679893.755
2012-03-01,1374.089966,2532165991.006
2012-03-02,1369.630005,2193723806.99
2012-03-05,1364.329956,1968104281.68
2012-03-06,1343.359985,1367268859.29
2012-03-07,1352.630005,1663036074.54
2012-03-08,1365.910034,2461000862.105
2012-03-09,1370.869995,2422366519.13
2012-03-12,1371.089966,2739084139.735
2012-03-13,1395.949951,3390409713.37
2012-03-14,1394.280029,3256845974.575
2012-03-15,1402.599976,3404727488.605
2012-03-16,1404.170044,4959128416.75
2012-03-19,1409.75,2249543026.64
2012-03-20,1405.52002,2383750779.645
2012-03-21,1402.890015,2385713488.325
2012-03-22,1392.780029,2059240156.475
2012-03-23,1397.109985,1992954217.995
2012-03-26,1416.51001,2620114918.87
2012-03-27,1412.52002,2803205760.135
2012-03-28,1405.540039,2649575364.665
