date,price,dix,gex,Vix Previous Close,Vix 21 Moving Average,SPX Change
5/2/11,1361.219971,0.378842099,1897312571,,,
5/3/11,1356.619995,0.38341108,1859730656,15.98999977,,-0.003379304
5/4/11,1347.319946,0.3921218,1717763845,16.70000076,,-0.006855309
5/5/11,1335.099976,0.40545702,1361864280,17.07999992,,-0.009069835
5/6/11,1340.199951,0.418648665,1490328626,18.20000076,,0.00381992
5/9/11,1346.290039,0.410320503,1677058729,18.39999962,,0.004544164
5/10/11,1357.160034,0.392851427,2034952131,17.15999985,,0.008074037
5/11/11,1342.079956,0.400814098,1536770885,15.90999985,,-0.011111496
5/12/11,1348.650024,0.387533995,1674923266,16.95000076,,0.004895437
5/13/11,1337.77002,0.405595192,1218149462,16.03000069,,-0.008067329
5/16/11,1329.469971,0.389702744,779596412.3,17.06999969,,-0.006204392
5/17/11,1328.97998,0.394746832,841850592,18.23999977,,-0.000368561
5/18/11,1340.680054,0.402330225,1366160182,17.54999924,,0.0088038
5/19/11,1343.599976,0.394634203,1543685365,16.22999954,,0.002177941
5/20/11,1333.27002,0.413201616,1288076424,15.52000046,,-0.007688267
5/23/11,1317.369995,0.405846557,539696742.8,17.43000031,,-0.011925585
5/24/11,1316.280029,0.389380348,510244377.5,18.27000046,,-0.00082738
5/25/11,1320.469971,0.39729069,740695062.9,17.81999969,,0.003183169
5/26/11,1325.689941,0.397655976,794680724.9,17.06999969,,0.003953115
5/27/11,1331.099976,0.40093531,918664965.2,16.09000015,,0.00408092
5/31/11,1345.199951,0.402477407,1501018827,15.97999954,16.91142859,0.010592724
6/1/11,1314.550049,0.441581815,765472910.7,15.44999981,17.02142856,-0.022784644
6/2/11,1312.939941,0.413069954,737054457.1,18.29999924,17.08761901,-0.001224836
6/3/11,1300.160034,0.436109719,405956517.9,18.09000015,17.12904762,-0.009733809
6/6/11,1286.170044,0.400147128,24119666.1,17.95000076,17.1428571,-0.010760206
6/7/11,1284.939941,0.406773926,-172403089.1,18.48999977,17.12714282,-0.000956408
6/8/11,1279.560059,0.40458124,-285916518,18.06999969,17.20476191,-0.004186874
6/9/11,1289,0.414450695,-110999211.3,18.79000092,17.29333337,0.00737749
6/10/11,1270.97998,0.436125527,-459227978.2,17.77000046,17.38428575,-0.013979845
6/13/11,1271.829956,0.40885086,-449818392.3,18.86000061,17.55476193,0.000668756
